Id,Date,TotalSteps,avg_heart_hr
5553957443,2016-04-30T00:00:00Z,1202,62
5553957443,2016-05-01T00:00:00Z,5164,51
5553957443,2016-05-03T00:00:00Z,12848,61
5553957443,2016-05-04T00:00:00Z,4249,70
5553957443,2016-05-05T00:00:00Z,14331,54
5577150313,2016-04-13T00:00:00Z,5077,50
5577150313,2016-04-14T00:00:00Z,8596,50
5577150313,2016-04-15T00:00:00Z,12087,49
5577150313,2016-04-18T00:00:00Z,9893,47
5577150313,2016-04-19T00:00:00Z,12574,57
5577150313,2016-04-20T00:00:00Z,8330,57
5577150313,2016-04-23T00:00:00Z,7638,49
5577150313,2016-04-24T00:00:00Z,15764,50
5577150313,2016-04-25T00:00:00Z,6393,57
5577150313,2016-04-26T00:00:00Z,5325,54
5577150313,2016-04-28T00:00:00Z,9841,54
5577150313,2016-05-01T00:00:00Z,13368,58
5577150313,2016-05-02T00:00:00Z,7439,52
5577150313,2016-05-04T00:00:00Z,5206,77
5577150313,2016-05-10T00:00:00Z,8869,55
5577150313,2016-05-11T00:00:00Z,4038,56
6117666160,2016-04-16T00:00:00Z,14450,80
6117666160,2016-04-17T00:00:00Z,7150,91
6117666160,2016-04-19T00:00:00Z,11135,74
6117666160,2016-04-21T00:00:00Z,19542,64
6117666160,2016-04-23T00:00:00Z,11495,69
6117666160,2016-04-24T00:00:00Z,7623,81
6117666160,2016-04-28T00:00:00Z,3403,70
6117666160,2016-04-29T00:00:00Z,9592,79
6117666160,2016-04-30T00:00:00Z,6987,89
6117666160,2016-05-01T00:00:00Z,8915,74
6117666160,2016-05-05T00:00:00Z,9799,75
6117666160,2016-05-06T00:00:00Z,3365,88
6117666160,2016-05-08T00:00:00Z,7328,69
6117666160,2016-05-09T00:00:00Z,4477,74
6775888955,2016-04-14T00:00:00Z,5162,73
6775888955,2016-04-15T00:00:00Z,1282,80
6775888955,2016-05-01T00:00:00Z,2487,90
6775888955,2016-05-07T00:00:00Z,1967,116
6962181067,2016-04-13T00:00:00Z,5652,82
6962181067,2016-04-14T00:00:00Z,1551,73
6962181067,2016-04-15T00:00:00Z,5563,65
6962181067,2016-04-18T00:00:00Z,11404,65
6962181067,2016-04-21T00:00:00Z,11835,65
6962181067,2016-04-23T00:00:00Z,20031,64
6962181067,2016-04-24T00:00:00Z,5029,58
6962181067,2016-04-26T00:00:00Z,10433,59
6962181067,2016-04-27T00:00:00Z,10320,72
6962181067,2016-04-28T00:00:00Z,12627,57
6962181067,2016-04-29T00:00:00Z,10762,58
6962181067,2016-05-03T00:00:00Z,12109,70
6962181067,2016-05-04T00:00:00Z,10147,62
6962181067,2016-05-07T00:00:00Z,6815,72
6962181067,2016-05-08T00:00:00Z,4188,73
6962181067,2016-05-11T00:00:00Z,6722,64
6962181067,2016-05-12T00:00:00Z,3587,67
8792009665,2016-04-23T00:00:00Z,5245,61
8792009665,2016-04-24T00:00:00Z,400,64
8792009665,2016-04-27T00:00:00Z,1758,63
8792009665,2016-04-28T00:00:00Z,6157,65
8792009665,2016-04-30T00:00:00Z,7174,77
8792009665,2016-05-01T00:00:00Z,1619,65
8792009665,2016-05-04T00:00:00Z,2283,82
